Time(sec),EDA(uS),EDA_Valid(1Yes_0No),EDA_w_NaN_from_QA(uS),Temp(C)
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,53.11,1,53.11,33.5
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,50.22,1,50.22,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.5
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.05,1,50.05,33.7
6.3644e+10,50.05,1,50.05,33.7
6.3644e+10,50.05,1,50.05,33.7
6.3644e+10,50.05,1,50.05,33.7
6.3644e+10,50.05,1,50.05,33.7
6.3644e+10,50.05,1,50.05,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.16,1,50.16,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,47.47,1,47.47,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,47.47,1,47.47,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.16,1,50.16,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,50.22,1,50.22,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,50.22,1,50.22,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,50.16,1,50.16,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,50.16,1,50.16,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,50.16,1,50.16,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,47.47,1,47.47,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,47.47,1,47.47,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.05,1,50.05,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,47.47,1,47.47,33.7
6.3644e+10,50.16,1,50.16,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.23,1,53.23,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,50.16,1,50.16,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.17,1,53.17,33.7
6.3644e+10,50.16,1,50.16,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.05,1,50.05,33.7
6.3644e+10,50.05,1,50.05,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.05,1,50.05,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,53.11,1,53.11,33.7
6.3644e+10,50.11,1,50.11,33.7
6.3644e+10,50.05,1,50.05,33.7
6.3644e+10,47.42,1,47.42,33.7
6.3644e+10,50.05,1,50.05,33.7
6.3644e+10,47.36,1,47.36,33.7
6.3644e+10,47.36,1,47.36,33.7
6.3644e+10,47.36,1,47.36,33.7
6.3644e+10,47.36,1,47.36,33.7
6.3644e+10,47.36,1,47.36,33.7
6.3644e+10,44.9,1,44.9,33.7
6.3644e+10,44.85,1,44.85,33.7
6.3644e+10,44.85,1,44.85,33.7
6.3644e+10,42.66,1,42.66,33.7
6.3644e+10,44.85,1,44.85,33.7
6.3644e+10,44.9,1,44.9,33.7
6.3644e+10,44.95,1,44.95,33.7
6.3644e+10,47.36,1,47.36,33.7
6.3644e+10,47.36,1,47.36,33.7
6.3644e+10,47.36,1,47.36,33.7
6.3644e+10,47.36,1,47.36,33.7
6.3644e+10,47.36,1,47.36,33.7
6.3644e+10,47.36,1,47.36,33.7
