Time(sec),EDA(uS),EDA_Filtered(uS),EDA_Valid(1Yes_0No),EDA_w_NaN_from_QA(uS),Temp(C)
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.5
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,53.17,53.17,0,NaN,33.7
6.3644e+10,53.17,53.17,0,NaN,33.7
6.3644e+10,53.17,53.17,0,NaN,33.7
6.3644e+10,53.17,53.17,0,NaN,33.7
6.3644e+10,53.17,53.17,0,NaN,33.7
6.3644e+10,50.22,50.22,0,NaN,33.7
6.3644e+10,53.17,53.17,0,NaN,33.7
6.3644e+10,53.17,53.17,0,NaN,33.7
6.3644e+10,53.17,53.17,0,NaN,33.7
6.3644e+10,53.17,53.17,0,NaN,33.7
6.3644e+10,53.17,53.17,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,53.17,53.17,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.5
6.3644e+10,53.17,53.17,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,53.17,53.17,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,50.05,50.05,0,NaN,33.7
6.3644e+10,50.05,50.05,0,NaN,33.7
6.3644e+10,50.05,50.05,0,NaN,33.7
6.3644e+10,50.05,50.05,0,NaN,33.7
6.3644e+10,50.05,50.05,0,NaN,33.7
6.3644e+10,50.05,50.05,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,50.16,50.16,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,47.47,47.47,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,47.47,47.47,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,53.11,53.11,0,NaN,33.7
6.3644e+10,50.11,50.11,0,NaN,33.7
