Time(sec),EDA(uS),EDA_Valid(1Yes_0No),EDA_w_NaN_from_QA(uS),Temp(C)
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.665,0,NaN,29.9
6.3644e+10,0.665,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.665,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.665,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.665,0,NaN,29.9
6.3644e+10,0.665,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.665,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.665,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,30.1
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,30.1
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,30.1
6.3644e+10,0.661,0,NaN,30.1
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,30.1
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.665,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,30.1
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,30.1
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,30.1
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.665,0,NaN,30.4
6.3644e+10,0.663,0,NaN,30.4
6.3644e+10,0.661,0,NaN,30.4
6.3644e+10,0.665,0,NaN,30.4
6.3644e+10,0.661,0,NaN,30.4
6.3644e+10,0.661,0,NaN,30.4
6.3644e+10,0.661,0,NaN,30.4
6.3644e+10,0.661,0,NaN,30.4
6.3644e+10,0.661,0,NaN,30.4
6.3644e+10,0.661,0,NaN,30.4
6.3644e+10,0.661,0,NaN,30.4
6.3644e+10,0.661,0,NaN,30.4
6.3644e+10,0.661,0,NaN,30.4
6.3644e+10,0.661,0,NaN,30.4
6.3644e+10,0.661,0,NaN,30.4
6.3644e+10,0.661,0,NaN,30.4
6.3644e+10,0.661,0,NaN,30.4
6.3644e+10,0.661,0,NaN,30.4
6.3644e+10,0.661,0,NaN,30.4
6.3644e+10,0.658,0,NaN,29.9
6.3644e+10,0.66,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,30.1
6.3644e+10,0.661,0,NaN,30.1
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,30.1
6.3644e+10,0.661,0,NaN,29.9
6.3644e+10,0.661,0,NaN,30.1
6.3644e+10,0.661,0,NaN,29.9
