Time(sec),EDA(uS),EDA_Filtered(uS),EDA_Valid(1Yes_0No),EDA_w_NaN_from_QA(uS),Temp(C)
6.3644e+10,0.661,0.661,0,NaN,29.9
6.3644e+10,0.661,0.66102,0,NaN,29.9
6.3644e+10,0.661,0.66103,0,NaN,29.9
6.3644e+10,0.661,0.66105,0,NaN,29.9
6.3644e+10,0.661,0.66106,0,NaN,29.9
6.3644e+10,0.661,0.66108,0,NaN,29.9
6.3644e+10,0.661,0.66109,0,NaN,29.9
6.3644e+10,0.661,0.66111,0,NaN,29.9
6.3644e+10,0.661,0.66113,0,NaN,29.9
6.3644e+10,0.661,0.66114,0,NaN,29.9
6.3644e+10,0.661,0.66116,0,NaN,29.9
6.3644e+10,0.661,0.66117,0,NaN,29.9
6.3644e+10,0.661,0.66119,0,NaN,29.9
6.3644e+10,0.661,0.6612,0,NaN,29.9
6.3644e+10,0.661,0.66122,0,NaN,29.9
6.3644e+10,0.661,0.66123,0,NaN,29.9
6.3644e+10,0.661,0.66124,0,NaN,29.9
6.3644e+10,0.661,0.66126,0,NaN,29.9
6.3644e+10,0.661,0.66127,0,NaN,29.9
6.3644e+10,0.665,0.66129,0,NaN,29.9
6.3644e+10,0.665,0.6613,0,NaN,29.9
6.3644e+10,0.661,0.66131,0,NaN,29.9
6.3644e+10,0.661,0.66132,0,NaN,29.9
6.3644e+10,0.665,0.66133,0,NaN,29.9
6.3644e+10,0.661,0.66134,0,NaN,29.9
6.3644e+10,0.665,0.66134,0,NaN,29.9
6.3644e+10,0.661,0.66135,0,NaN,29.9
6.3644e+10,0.661,0.66135,0,NaN,29.9
6.3644e+10,0.661,0.66136,0,NaN,29.9
6.3644e+10,0.661,0.66136,0,NaN,29.9
6.3644e+10,0.661,0.66137,0,NaN,29.9
6.3644e+10,0.661,0.66137,0,NaN,29.9
6.3644e+10,0.661,0.66138,0,NaN,29.9
6.3644e+10,0.661,0.66138,0,NaN,29.9
6.3644e+10,0.661,0.66139,0,NaN,29.9
6.3644e+10,0.661,0.66139,0,NaN,29.9
6.3644e+10,0.661,0.6614,0,NaN,29.9
6.3644e+10,0.661,0.6614,0,NaN,29.9
6.3644e+10,0.661,0.66141,0,NaN,29.9
6.3644e+10,0.661,0.66141,0,NaN,29.9
6.3644e+10,0.665,0.66142,0,NaN,29.9
6.3644e+10,0.665,0.66142,0,NaN,29.9
6.3644e+10,0.661,0.66142,0,NaN,29.9
6.3644e+10,0.661,0.66142,0,NaN,29.9
6.3644e+10,0.661,0.66141,0,NaN,29.9
6.3644e+10,0.661,0.66141,0,NaN,29.9
6.3644e+10,0.661,0.66141,0,NaN,29.9
6.3644e+10,0.661,0.66141,0,NaN,29.9
6.3644e+10,0.661,0.66141,0,NaN,29.9
6.3644e+10,0.661,0.66141,0,NaN,29.9
6.3644e+10,0.665,0.66141,0,NaN,29.9
6.3644e+10,0.661,0.6614,0,NaN,29.9
6.3644e+10,0.665,0.6614,0,NaN,29.9
6.3644e+10,0.661,0.6614,0,NaN,29.9
6.3644e+10,0.661,0.66139,0,NaN,29.9
6.3644e+10,0.661,0.66139,0,NaN,29.9
6.3644e+10,0.661,0.66138,0,NaN,29.9
6.3644e+10,0.661,0.66138,0,NaN,29.9
6.3644e+10,0.661,0.66138,0,NaN,29.9
6.3644e+10,0.661,0.66137,0,NaN,29.9
6.3644e+10,0.661,0.66137,0,NaN,29.9
6.3644e+10,0.661,0.66136,0,NaN,29.9
6.3644e+10,0.661,0.66136,0,NaN,30.1
6.3644e+10,0.661,0.66135,0,NaN,29.9
6.3644e+10,0.661,0.66135,0,NaN,29.9
6.3644e+10,0.661,0.66134,0,NaN,29.9
6.3644e+10,0.661,0.66134,0,NaN,29.9
6.3644e+10,0.661,0.66133,0,NaN,30.1
6.3644e+10,0.661,0.66133,0,NaN,29.9
6.3644e+10,0.661,0.66132,0,NaN,30.1
6.3644e+10,0.661,0.66132,0,NaN,30.1
6.3644e+10,0.661,0.66131,0,NaN,29.9
6.3644e+10,0.661,0.66131,0,NaN,29.9
6.3644e+10,0.661,0.6613,0,NaN,29.9
6.3644e+10,0.661,0.6613,0,NaN,29.9
6.3644e+10,0.661,0.66129,0,NaN,29.9
6.3644e+10,0.661,0.66128,0,NaN,29.9
6.3644e+10,0.661,0.66128,0,NaN,29.9
6.3644e+10,0.661,0.66127,0,NaN,29.9
6.3644e+10,0.661,0.66127,0,NaN,29.9
6.3644e+10,0.661,0.66126,0,NaN,30.1
6.3644e+10,0.661,0.66126,0,NaN,29.9
6.3644e+10,0.661,0.66125,0,NaN,29.9
6.3644e+10,0.661,0.66125,0,NaN,29.9
6.3644e+10,0.661,0.66124,0,NaN,29.9
6.3644e+10,0.665,0.66124,0,NaN,29.9
6.3644e+10,0.661,0.66123,0,NaN,29.9
6.3644e+10,0.661,0.66123,0,NaN,29.9
6.3644e+10,0.661,0.66122,0,NaN,29.9
6.3644e+10,0.661,0.66122,0,NaN,29.9
